№	ДОМА ИЗ БАЗЫ	ДОМА ИЗ ГИС ЖКХ	КОД ГИС-ФИАС	УПРАВЛЯЮЩАЯ ОРГАНИЗАЦИЯ
16	АКУШИНСКОГО   3Б	Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 3, к. б	60d29727-b388-468a-b540-bb6dcf14a1b6	ООО УО ЖЭУ -14
17	АКУШИНСКОГО  10	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 10	8598a164-fa30-4bc1-b701-27159f100249	ООО УК -14
18	АКУШИНСКОГО  14	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 14	f1b6f478-b70a-4d5f-9004-00a9ae9e8eeb	ООО УК -14
19	АКУШИНСКОГО  14А	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 14А	2bb8faa1-d957-434e-b538-66aa082240ef	ООО УК -14
20	АКУШИНСКОГО  14Б	Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 14, к. б	1f521795-7814-4ac3-8b1a-e11634668abb	ООО УК -14
21	АКУШИНСКОГО  14В	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 14В	f925ae82-ca0c-4914-b853-3315eec508a2	ООО УК -14
22	АКУШИНСКОГО  28	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 28	20279e42-e2a8-4c1c-b356-c6f52744f936	ТСЖ «Лига «
23	АКУШИНСКОГО  28Д	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 28Д	4fa3cb4f-e309-4213-bc60-575aa213752f	ТСЖ «Лига»
24	АКУШИНСКОГО  29	Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 297	fc28066a-ab33-42f2-af6e-b750058feac4	ООО «УК -14»
25	АКУШИНСКОГО  29А	Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 297Б	7c6c0d0c-91e9-4daf-a04c-2636b7577872	ООО «УК-16»
26	АКУШИНСКОГО  30Г	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 30Г	0330a195-d9c1-4967-be03-6640f03c915d	ТСЖ «Лига»
27	АКУШИНСКОГО  30Д	367000, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 30Д	649f1206-c37d-4312-9c2f-ea4549a81a49	ТСЖ «Лига»
28	АКУШИНСКОГО  31	Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 297а	5a164161-fad7-40eb-a650-f464beddae4d	ООО «УК-16»
29	АКУШИНСКОГО  55	Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 395е	50c8d57b-dd5a-4734-b0c3-cf70d8f4331a	ООО «УК-16»
30	АКУШИНСКОГО  55А	367000, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 395ж	78683a0d-faf6-486f-9d15-e95ea20a24b1	ООО «УК-16»
31	АКУШИНСКОГО  84	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 84	1f7b0175-5c8e-4de1-a482-eed46550149f	ЖСК «Транспортник»
32	АКУШИНСКОГО  84А	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 84А	810dc957-5ff0-44f5-b694-0524a23b7762	ООО УО ЖЭУ -14
33	АКУШИНСКОГО  88	367009, Респ Дагестан, г Махачкала, ул Учительская, д. 9, к. 1	99ab92de-e80c-4829-a3e5-dd5e02174b5b	ТСЖ «Тепло»
34	АКУШИНСКОГО  88А	367009, Респ Дагестан, г Махачкала, ул Учительская, д. 9, к. 2	3b9e1f09-df49-4d13-a14d-0489c4aec02d	ТСЖ «Тепло»ООО УО ЖЭУ -14
35	АКУШИНСКОГО  90Б	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 90Б	cac97025-1581-49c8-a4b1-d8bdc4eb8958	ООО УО ЖЭУ -14
